date,lecture
01/18/22,Introdução ao curso e revisão
01/20/22,Algoritmo de Metropolis-Hastings
01/25/22,Algoritmo de Gibbs
01/27/22,Aplicações de Metropolis-Hastings
02/01/22,Monte Carlo Hamiltoniano
02/03/22,Monte Carlo Hamiltoniano
02/08/22,Monte Carlo Trans-dimensional
02/03/22,Monte Carlo Trans-dimensional
02/15/22,Monte Carlo sequencial
02/17/22,Monte Carlo sequencial
02/22/22,Bayes Variacional
02/24/22,Bayes Variacional
03/03/22,Simulação Perfeita
03/08/22,Anulamento simulado
03/10/22,Método escore de Fisher
03/15/22,Método Delta
03/17/22,Algoritmo EM
03/22/22,Algoritmo EM
03/24/22,Testes de permutação
03/29/22,Testes de permutação
03/31/22,Jackknife
04/05/22,Bootstrap
04/07/22,Bootstrap
04/12/22,Validação cruzada
04/14/22,Validação cruzada
04/19/22,Tópicos especiais
04/26/22,Tópicos especiais
04/28/22,Tópicos especiais
