title,url,year
Teoria da decisão e aplicações ao Direito,https://www.youtube.com/watch?v=AmOisEZZPZ8,2017
Coerência lógica em testes de hipótese,https://www.youtube.com/watch?v=O8OpE99uR58&t=573,2017
A model of evolution for languages,https://www.youtube.com/watch?v=lw95--eb1FM,2017
